Country Name,2009,2010,2011,2012,2013,2014,2015,2016
IDA & IBRD total,5725606720,5801348625,5877978113,5955531931,6033914681,6112778045,6191917218,6271593092
IDA total,1342025781,1373550580,1405682251,1438115061,1471223556,1504970314,1539338931,1574345975
IDA blend,442179341,452947421,463997812,474993526,486261860,497751634,509396383,521159393
Indonesia,239340478,242524123,245707511,248883232,252032263,255131116,258162113,261115456
IDA only,899846440,920603159,941684439,963121535,984961696,1007218680,1029942548,1053186582
Isle of Man,79325,80072,80759,81406,82013,82590,83167,83737
India,1214270132,1230980691,1247236029,1263065852,1278562207,1293859294,1309053980,1324171354
Not classified,,,,,,,,
Ireland,4535375,4560155,4576794,4586897,4598294,4617225,4676835,4773095
"Iran, Islamic Rep.",73687565,74567511,75491582,76453574,77435384,78411092,79360487,80277428
Iraq,29894652,30762701,31727053,32776571,33883145,35006080,36115649,37202572
Iceland,318499,318041,319014,320716,323764,327386,330815,334252
Israel,7485600,7623600,7765800,7910500,8059500,8215700,8380100,8547100
Italy,59095365,59277417,59379449,59539717,60233948,60789140,60730582,60600590
Jamaica,2804082,2817210,2829493,2840992,2851807,2862087,2871934,2881355
Jordan,6821116,7182390,7574943,7992573,8413464,8809306,9159302,9455802
Japan,128047000,128070000,127833000,127629000,127445000,127276000,127141000,126994511
Kazakhstan,16092701,16321581,16556600,16791425,17035275,17289224,17544126,17797032
Kenya,40237204,41350152,42486839,43646629,44826849,46024250,47236259,48461567
Kyrgyz Republic,5383300,5447900,5514600,5607200,5719600,5835500,5956900,6082700
Cambodia,14090208,14308740,14537886,14776866,15022692,15270790,15517635,15762370
Kiribati,100568,102652,104656,106613,108535,110458,112407,114395
St. Kitts and Nevis,50886,51445,52006,52591,53169,53739,54288,54821
"Korea, Rep.",49307835,49554112,49936638,50199853,50428893,50746659,51014947,51245707
Kuwait,2818939,2998083,3191051,3395556,3598385,3782450,3935794,4052584
Latin America & Caribbean (excluding high income),562785589,569737872,576648286,583515410,590319145,597035363,603644865,610136397
Lao PDR,6152036,6246274,6333487,6415169,6494557,6576397,6663967,6758353
Lebanon,4183156,4337141,4588368,4916404,5276102,5603279,5851479,6006668
Liberia,3811528,3948125,4070167,4181563,4286291,4390737,4499621,4613823
Libya,6121053,6169140,6193501,6198258,6195970,6204108,6234955,6293253
St. Lucia,171022,172580,173832,174835,175660,176421,177206,178015
Latin America & Caribbean,589352524,596477846,603534610,610545003,617492351,624331830,631058524,637664490
Least developed countries: UN classification,828953320,848791962,869298106,890423474,912093996,934192321,956631108,979387925
Low income,544900284,560007444,575572515,591576162,607987351,624759914,641858608,659272676
Liechtenstein,35766,36003,36264,36545,36834,37127,37403,37666
Sri Lanka,19968000,20119000,20271000,20425000,20585000,20771000,20966000,21203000
Lower middle income,2713862748,2756602745,2799383507,2841934571,2884574006,2927194316,2970020158,3012923806
Low & middle income,5705229263,5781145005,5857844644,5935500538,6014016344,6093019655,6172290592,6252106157
Lesotho,2019209,2040551,2064166,2089928,2117361,2145785,2174645,2203821
Late-demographic dividend,2168123627,2181250143,2194503254,2208049607,2221689409,2235382535,2248927194,2262709895
Lithuania,3162916,3097282,3028115,2987773,2957689,2932367,2904910,2872298
Luxembourg,497783,506953,518347,530946,543360,556319,569604,582972
Latvia,2141669,2097555,2059709,2034319,2012647,1993782,1977527,1960424
"Macao SAR, China",525313,536969,549439,562531,575841,588781,600942,612167
St. Martin (French part),29820,30235,30615,30959,31264,31530,31754,31949
Morocco,31989897,32409639,32858823,33333789,33824769,34318082,34803322,35276786
Monaco,36534,37094,37497,37783,37971,38132,38307,38499
Moldova,3565604,3562045,3559986,3559519,3558566,3556397,3554108,3552000
Madagascar,20569121,21151640,21743949,22346573,22961146,23589801,24234088,24894551
Maldives,360000,367000,377000,385000,393000,401000,409163,417492
Middle East & North Africa,380192587,388376106,396573248,404782447,412950407,421022841,428961724,436720722
Mexico,115505228,117318941,119090017,120828307,122535969,124221600,125890949,127540423
Marshall Islands,52320,52425,52542,52663,52793,52898,52994,53066
Middle income,5160328979,5221137561,5282272129,5343924376,5406028993,5468259741,5530431984,5592833481
"Macedonia, FYR",2069093,2070739,2072383,2074036,2075739,2077495,2079308,2081206
Mali,14606597,15075085,15540989,16006670,16477818,16962846,17467905,17994837
Malta,412477,414508,416268,419455,423374,427364,431874,436947
Myanmar,49800690,50155896,50553031,50986514,51448196,51924182,52403669,52885223
Middle East & North Africa (excluding high income),329488935,335581557,341822043,348195697,354641044,361077997,367449306,373719055
Montenegro,618294,619428,620079,620601,621207,621810,622159,622781
Mongolia,2668289,2712650,2761516,2814226,2869107,2923896,2976877,3027398
Northern Mariana Islands,55674,54424,53786,53718,54036,54468,54816,55023
Mozambique,23524063,24221405,24939005,25676606,26434372,27212382,28010691,28829476
Mauritania,3506288,3609543,3717672,3830239,3946170,4063920,4182341,4301018
Mauritius,1247429,1250400,1252404,1255882,1258653,1260934,1262605,1263473
