Country Name,2009,2010,2011,2012,2013,2014
Monaco,152111.598,144246.3688,162009.8778,,,
Moldova,1525.526119,1631.535832,1970.571373,2046.536787,2243.979662,2244.763762
Madagascar,415.6893226,412.7309341,454.963464,443.9061001,461.7230722,452.4631926
Maldives,6615.763788,7100.405909,7395.687794,7473.195626,8291.485293,9056.653433
Middle East  North Africa,6228.992612,7127.071415,8276.889368,8720.137092,8533.769498,8464.051914
Mexico,7748.123301,8959.581416,9834.472689,9820.532572,10298.86766,10452.78353
Marshall Islands,2917.001147,3146.763948,3297.558144,3516.899911,3614.130661,3461.781164
Middle income,3245.522132,3916.756249,4575.508608,4813.511603,5043.883219,5172.042669
"Macedonia, FYR",4543.890244,4542.904104,5064.041106,4698.689476,5211.4992,5469.217898
Mali,697.0153124,708.3707632,835.0889098,777.3476868,803.8935757,848.2279485
Malta,20675.58259,21087.79469,22833.36127,21942.11474,23964.49551,26248.77189
Myanmar,741.0777116,987.7365832,1186.423937,1175.561788,1171.464477,1260.422411
Middle East  North Africa (excluding high income),3629.524634,4122.811861,4588.710354,4829.337485,4488.130183,4407.790776
Montenegro,6727.107767,6682.281158,7318.742449,6586.719209,7186.429787,7378.345289
Mongolia,1717.898761,2650.353648,3769.595269,4368.082248,4385.379355,4181.583313
Northern Mariana Islands,14279.55599,14681.02308,13628.08166,13980.41625,14508.84595,15513.69612
Mozambique,463.852618,419.2258149,526.5313517,566.0513873,605.9856081,623.2871141
Mauritania,1046.837935,1203.383663,1393.261734,1364.283926,1450.577949,1326.668654
Mauritius,7318.12641,8000.376432,9197.026972,9291.227619,9637.00265,10153.93822
Malawi,420.7379657,458.8681744,512.1254051,374.5018802,332.9223039,354.7253961
Malaysia,7326.744435,9071.356987,10405.12062,10779.50751,10882.2891,11183.72943
North America,46394.38485,48289.7003,50024.8203,51560.70464,52756.24177,54188.90415
Namibia,4153.497885,5191.583081,5600.971392,5749.404752,5490.041312,5392.712419
New Caledonia,,,,,,
Niger,,,,,,
Nigeria,1097.661422,2327.32067,2527.942003,2755.297787,2996.964302,3221.678116
Nicaragua,1464.497754,1526.497938,1682.957924,1792.038045,1847.198049,1975.464707
Netherlands,51900.34009,50338.25483,53540.60536,49474.70561,51574.48942,52157.40687
Norway,80067.17664,87770.26684,100711.2248,101668.1707,103059.2482,97199.9191
Nepal,480.7200909,592.1835216,692.1166842,681.7925868,688.6172788,706.2386977
Nauru,4416.728353,4912.599558,7233.946609,10099.422,10036.18321,9872.638314
New Zealand,28200.94193,33691.34837,38426.55081,39970.25624,42889.88141,44503.24673
OECD members,34499.71818,35903.5344,38376.47592,38061.42337,38273.43251,38778.07418
Oman,16784.34616,19280.74735,20986.00036,22134.91007,21268.75637,20458.45227
Other small states,10784.75701,12212.48328,14714.30867,15014.08881,15310.85423,15459.76704
Pakistan,1006.603999,1040.142268,1226.215314,1261.208967,1272.441061,1316.980966
Panama,7429.628274,7937.259931,9270.723171,10589.82713,11685.97983,12593.73704
Peru,4166.093387,5022.493191,5771.565878,6387.785281,6583.116248,6491.05245
Philippines,1825.341521,2129.499247,2352.518156,2581.818554,2760.289146,2842.938353
Palau,9187.449612,8956.282364,9712.456915,10362.03391,10899.24474,11682.76761
Papua New Guinea,1672.490908,2004.818112,2474.061846,2865.873252,2800.169029,2965.989284
Poland,11542.02029,12597.86239,13890.69624,13143.52122,13780.19061,14339.67455
Pre-demographic dividend,1014.651102,1368.073778,1535.229931,1638.541664,1740.537874,1806.047295
Puerto Rico,25768.73605,26435.74019,27278.87489,27944.73389,28513.16574,28981.45733
"Korea, Dem. People’s Rep.",,,,,,
Portugal,23063.97161,22538.65408,23196.18375,20577.40264,21618.73534,22077.53613
Paraguay,2599.596259,3225.591754,3988.011894,3855.537735,4479.905858,4712.822736
West Bank and Gaza,1963.201519,2338.719877,2664.951385,2787.169738,2992.200995,2960.778004
Pacific island small states,2644.909387,2892.651511,3383.777468,3570.881087,3641.690444,3764.52277
Post-demographic dividend,38011.34561,39449.29666,42228.25313,41980.66957,42156.65599,42773.22875
French Polynesia,,,,,,
Qatar,61478.23813,70306.22784,85948.07046,88564.82298,88304.87958,86852.71019
Romania,8220.108329,8297.483621,9200.277825,8558.397606,9585.266593,10020.27733
Russian Federation,8562.809598,10674.98771,14351.21205,15434.57478,16007.08999,14125.90873
Rwanda,539.1538211,563.4910487,617.3107648,678.0796973,688.8768557,706.5699517
South Asia,1036.030643,1252.227962,1373.810798,1370.56479,1387.008381,1497.506502
Saudi Arabia,16094.2931,19259.58726,23770.74739,25303.09462,24934.38614,24575.40304
Sudan,1226.884381,1476.478087,1666.857757,1892.894352,1955.660799,2176.898029
Senegal,1021.037864,1002.52994,1081.939254,1038.077646,1051.750745,1052.127482
Singapore,38577.55822,46569.67951,53166.67581,54431.16199,56029.18914,56336.07234
Solomon Islands,1158.282672,1272.448025,1642.837974,1858.689868,1880.5159,2009.652622
Sierra Leone,394.5932439,405.1284018,445.052005,561.8984239,710.8186998,708.4427474
El Salvador,3366.482133,3474.392445,3736.58713,3827.786267,3895.664491,3988.771871
San Marino,76918.15358,68758.36862,65213.61899,56403.99483,57746.16607,56513.51608
Somalia,,,,,407.5432354,417.8900143
Serbia,5821.305397,5411.877404,6423.291783,5659.380204,6353.826383,6200.173221
Sub-Saharan Africa (excluding high income),1196.501282,1556.871477,1704.989817,1739.463673,1782.667681,1818.180685
South Sudan,1264.789908,1562.239346,1706.090713,958.4550081,1186.101325,1151.861715
Sub-Saharan Africa,1197.373595,1557.816397,1706.004888,1740.520354,1783.981029,1819.464366
Small states,9727.222153,10944.12441,12982.54327,13344.78432,13592.67371,13719.41286
Sao Tome and Principe,1099.571046,1129.754961,1304.326189,1380.949959,1619.532678,1824.160311
Suriname,7443.850178,8303.31332,8318.97692,9272.413453,9484.568098,9564.406383
